Test#	L_AGN(erg/s)	vin(km/s)	alpha	nH_0(cm^-3)	R0(pc)	Tin	Comments	f	L_edd(erg/s)	Mdot_in(CGS)	Mdot_in(Msol/yr)	Mdot_acc(CHECK UNITS)
0	1e+47	20000.0	0.0	100.0	100.0	1.0	Default values	1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
1	1e+47	10000.0	0.0	100.0	100.0	1.0	"Vary vin   Line 192, NameError: name 'Rc_ind1' is not defined"	1	1e+47	3.33555703802535e+32	5.31706414134007e-09	1.11259407539204e+27
2	1e+47	30000.0	0.0	100.0	100.0	1.0		1	1e+47	1.11185234600845e+32	1.77235471378002e-09	1.11259407539204e+27
3	1e+47	40000.0	0.0	100.0	100.0	1.0		1	1e+47	8.33889259506338e+31	1.32926603533502e-09	1.11259407539204e+27
4	1e+47	50000.0	0.0	100.0	100.0	1.0		1	1e+47	6.6711140760507e+31	1.06341282826801e-09	1.11259407539204e+27
5	1e+47	20000.0	1.0	100.0	100.0	1.0	"Check alpha param: Zig-zag in N_v, but works!"	1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
6	1e+47	20000.0	2.0	100.0	100.0	1.0		1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
7	1e+47	20000.0	3.0	100.0	100.0	1.0	"line 147,
    if r<R1_t1[i]:
IndexError: list index out of range"	1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
8	1e+47	20000.0	0.0	10.0	100.0	1.0	"Vary nH_0  Line 192, NameError: name 'Rc_ind1' is not defined"	1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
9	1e+47	20000.0	0.0	50.0	100.0	1.0		1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
10	1e+47	20000.0	0.0	200.0	100.0	1.0		1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
11	1e+47	20000.0	0.0	1000.0	100.0	1.0		1	1e+47	1.66777851901268e+32	2.65853207067004e-09	1.11259407539204e+27
12	1e+46	20000.0	0.0	100.0	100.0	1.0	Vary L_AGN	1	1e+46	1.66777851901268e+31	2.65853207067004e-10	1.11259407539204e+26
13	5e+46	20000.0	0.0	100.0	100.0	1.0		1	5e+46	8.33889259506338e+31	1.32926603533502e-09	5.56297037696022e+26
14	2e+47	20000.0	0.0	100.0	100.0	1.0		1	2e+47	3.33555703802535e+32	5.31706414134007e-09	2.22518815078409e+27
15	1e+48	20000.0	0.0	100.0	100.0	1.0	"Line 192, NameError: name 'Rc_ind1' is not defined"	1	1e+48	1.66777851901268e+33	2.65853207067004e-08	1.11259407539204e+28
16	1e+47	50000.0	3.0	1000.0	100.0	1.0	"All max values (that worked)"	1	1e+47	6.6711140760507e+31	1.06341282826801e-09	1.11259407539204e+27
17	5e+46	20000.0	0.0	10.0	100.0	1.0	"All min values  (that worked)  Line 192, NameError: name 'Rc_ind1' is not defined"	1	5e+46	8.33889259506338e+31	1.32926603533502e-09	5.56297037696022e+26